Location_ID,Location_Name,Located_City,Located_Province,Location_Type,Latitude,Longitude,Avg_Rating,Review_Count,Activities,Location_Description
LOC_1,Arugam Bay,Arugam Bay,Eastern Province,Beaches,6.837977100000001,81.8251687,4.06,187,"['Swimming', 'Surfing', 'Sunbathing', 'Yoga', 'Boat Tours', 'Beach Hopping']","A crescent-shaped stretch of golden sand on Sri Lanka’s eastern coast, Arugam Bay Beach is a surfer’s paradise with consistent waves at spots like Main Point and Baby Point. Its laid-back vibe features rustic guesthouses, quirky cafes, and a mix of Sinhalese, Tamil, and Muslim communities. Nearby attractions include Lahugala National Park (wild elephants) and Kudimbigala Forest Hermitage. Despite tourism growth, it retains its eccentric charm."
LOC_2,Bentota Beach,Bentota,Southern Province,Beaches,6.423470699999999,79.9953199,4.59,233,"['Swimming', 'Surfing', 'Sunbathing', 'Snorkeling', 'Jet Skiing', 'Boat Tours']","Bentota Beach on Sri Lanka's west coast combines historical significance with natural beauty. Once a strategic colonial site for the Dutch and Portuguese due to its cinnamon plantations, remnants of the old fort still linger in the area. Today, it is a paradise for water sports enthusiasts offering activities like jet skiing, parasailing, and snorkeling. The nearby Bentota River provides opportunities for boat safaris through mangrove forests and visits to cinnamon plantations. For art lovers, the Brief Garden, former estate of artist Bevis Bawa, showcases sculptures and stunning landscapes. Bentota is also known for its luxury resorts and tranquil beaches lined with palm trees."
LOC_3,Hikkaduwa Beach,Hikkaduwa,Southern Province,Beaches,6.1377266,80.09905959999999,4.02,213,"['Swimming', 'Surfing', 'Sunbathing', 'Snorkeling', 'Boat Tours']","Hikkaduwa Beach is a bustling coastal town in southern Sri Lanka famed for its vibrant nightlife, surfing spots, and coral sanctuary. The beach offers waves suitable for both beginners and experienced surfers during October–April. The Hikkaduwa National Park, Sri Lanka’s first marine sanctuary, features colorful coral reefs undergoing restoration efforts. The area also boasts wide sandy stretches like Narigama Beach, perfect for relaxation or upscale dining experiences. A unique cultural landmark is the towering Tsunami Honganji Viharaya Buddha Statue, built in memory of the 2004 tsunami victims."
LOC_4,Jungle Beach,Unawatuna,Southern Province,Beaches,6.0186943,80.2394104,3.54,183,"['Swimming', 'Sunbathing', 'Snorkeling', 'Hiking']","Nestled near Unawatuna on Sri Lanka’s southern coast, Jungle Beach offers a secluded escape surrounded by lush greenery. Accessible via a short jungle trail, this hidden gem combines golden sands with vibrant coral reefs ideal for snorkeling and diving. Its serene ambiance makes it perfect for unwinding while enjoying authentic Sri Lankan cuisine at local eateries. The sunsets here are particularly breathtaking, painting the sky in vivid hues that complement the tranquil setting."
LOC_5,Kalutara Beach,Kalutara,Western Province,Beaches,6.6098466,79.94741789999999,3.67,218,"['Swimming', 'Surfing', 'Sunbathing', 'Snorkeling', 'Kayaking', 'Rafting']","Kalutara Beach is a peaceful stretch of golden sand on Sri Lanka’s western coast, bordered by coconut groves and the scenic Kalu River estuary. This destination is ideal for those seeking solitude or engaging in water-based activities like boating or rafting along the river’s mangroves. Kalutara also offers cultural attractions such as Buddhist temples and traditional markets nearby."
LOC_6,Marble Beach,Trincomalee,Eastern Province,Beaches,7.7853051,81.42789839999999,3.97,145,"['Swimming', 'Surfing', 'Sunbathing', 'Snorkeling']","Located near Trincomalee in Kinniya, Marble Beach stands out with its powdery white sands and crystal-clear waters. It is a family-friendly destination with lifeguards ensuring safe swimming conditions. Visitors can enjoy picnics under shaded areas while exploring the natural beauty of this pristine beach."
LOC_7,Mirissa Beach,Mirissa,Southern Province,Beaches,5.9447028,80.45916079999999,4.27,217,"['Swimming', 'Surfing', 'Sunbathing', 'Snorkeling', 'Boat Tours']","Mirissa Beach is a tropical paradise on Sri Lanka’s southern coast known for its golden sands and swaying palm trees. It is one of the best places globally for blue whale watching, with tours departing regularly during December–April. The beach also offers opportunities for surfing, snorkeling, and enjoying vibrant nightlife at beachfront bars and cafes."
LOC_8,Mount Lavinia Beach,Colombo,Western Province,Beaches,6.842362,79.8624086,4.13,180,"['Swimming', 'Sunbathing', 'Kite Surfing']","Situated close to Colombo, Mount Lavinia Beach serves as an urban retreat ideal for evening strolls or seafood dining by the ocean. Its historical significance stems from colonial times when it was part of Governor Sir Thomas Maitland’s residence area. Today it remains a popular spot for locals and tourists alike to enjoy panoramic sunsets over the Indian Ocean."
LOC_9,Negombo Beach,Negombo,Western Province,Beaches,7.205520799999999,79.8512562,3.12,209,"['Swimming', 'Surfing', 'Sunbathing', 'Snorkeling', 'Kit Surfing', 'Boat Tours']","Negombo Beach lies near Bandaranaike International Airport on Sri Lanka’s western coast, making it an accessible stopover spot for travelers. Known as “Little Rome” due to its Roman Catholic heritage and numerous churches, Negombo combines cultural richness with coastal charm. Its wide beaches are popular for activities like kite surfing, sailing, windsurfing, and jet skiing. The Dutch Canal running through Negombo adds historical intrigue while seafood restaurants offer fresh catches daily"
LOC_10,Nilaveli Beach,Nilaveli,Eastern Province,Beaches,8.7003072,81.19205000000001,4.33,165,"['Swimming', 'Surfing', 'Sunbathing', 'Snorkeling']","Nilaveli Beach on Sri Lanka's northeastern coast is celebrated for its tranquil atmosphere and clear turquoise waters stretching along white sandy shores2. Ideal for swimming or sunbathing away from crowds, Nilaveli also offers snorkeling opportunities at nearby coral reefs teeming with marine life like sea turtles and colorful fish2. A highlight is visiting Pigeon Island National Park, renowned for its coral formations and rare bird species"
LOC_11,Passikudah Beach,Kalkudah,Eastern Province,Beaches,7.9299939,81.5611852,4.56,160,"['Swimming', 'Surfing', 'Sunbathing', 'Snorkeling', 'Jet Skiing']","Located on Sri Lanka’s eastern coast, Passikudah Beach is celebrated for its shallow, calm waters that stretch far into the sea, creating a vast, safe swimming area ideal for families. The golden sands and tranquil atmosphere make it perfect for relaxation, while water sports like jet skiing and snorkeling cater to adventure seekers. Nearby attractions include Kalkudah Beach (similar serene sands) and Arugam Bay (surfing hotspot), offering contrasting experiences. Historically, the beach has been a quiet retreat, though recent tourism has introduced modern amenities without compromising its natural charm"
LOC_12,Gregory Lake,Nuwara Eliya,Central Province,Bodies of Water,6.958636339758352,80.77845098153705,3.96,256,"['Boating', 'Walking Trails']","A colonial-era artificial lake in Nuwara Eliya, Gregory Lake was built in 1873 by Governor Sir William Gregory to generate electricity. Today, it serves as a recreational hub with boat rides and jet skiing. The lake’s surroundings blend colonial history with natural beauty, offering panoramic views of the hills and a catchment area for rainwater. Its proximity to Nuwara Eliya’s “Little England” ambiance adds to its appeal, making it a must-visit for both leisure and historical insight"
LOC_13,Kandy Lake,Kandy,Central Province,Bodies of Water,7.291201699999999,80.6420565,3.94,301,"['Boating', 'Walking Trails']","Known as Kiri Muhuda (“Sea of Milk”), Kandy Lake is a manmade waterbody in the heart of Kandy, constructed by King Sri Wickrama Rajasinghe in the early 19th century. Its central island, once linked to the royal palace via a secret passageway, now houses a pavilion with historical ties to the British era. The lake’s perimeter features a 3 km walking path shaded by trees, offering views of the Temple of the Tooth and surrounding hills. Legends of the king’s harem and colonial-era transformations add layers to its cultural significance"
LOC_14,Tissa Wewa,Tissamaharama,Southern Province,Bodies of Water,6.2895818,81.2821647,4.43,91,"['Historical Exploration', 'Architectural Marvel']","A 2,000-year-old reservoir in Tissamaharama, Tissa Wewa exemplifies ancient Sri Lankan irrigation engineering. Built by King Devanam Piyathissa, it supplied water via the Yodha Ela canal—a zigzagging marvel designed to slow water flow. The lake’s historical role extends to rituals performed by King Dutugemunu before his coronation. Today, it remains a vital water source and a symbol of the region’s agricultural heritage, blending tranquility with archaeological intrigue"
LOC_15,Twin Baths (Kuttam Pokuna),Anuradhapura,North Central Province,Bodies of Water,8.1995638,80.6326916,3.89,191,"['Historical Exploration', 'Architectural Marvel']","Located in Anuradhapura, Kuttam Pokuna (“Twin Ponds”) are ancient bathing tanks crafted with precision. The larger pond served adults, while the smaller one catered to children, both featuring intricate steps and fountains. These symmetrical structures highlight the advanced engineering of Sri Lanka’s past, offering a glimpse into monastic life. The serene atmosphere and architectural elegance make it a standout cultural site"
LOC_16,Ambewela Farms,Nuwara Eliya,Central Province,Farms,6.8917934,80.8038646,3.9,136,"['Factory Tours', 'Agricultural Workshops']","Perched in Nuwara Eliya’s highlands, Ambewela Farms—comprising Ambewela Farm and New Zealand Farm—are dairy estates established by the British and later supported by New Zealand. The farms raise Ayrshire and Friesian cattle in lush pastures, with automated milking processes and rustic English-style cottages. Visitors can explore sheds, rabbit breeding areas, and purchase fresh dairy products. The cool climate and rolling hills create a surreal “Little England” experience, contrasting sharply with Sri Lanka’s tropical landscapes"
LOC_17,Bluefield Tea Gardens,Nuwara Eliya,Central Province,Farms,7.256499600000001,80.7214417,4.22,314,"['Factory Tours', 'Agricultural Workshops']","A hillside tea estate near Ramboda, Bluefield Tea Gardens combines lush greenery with colonial-era charm. The estate offers guided tours of tea production, from plucking to packaging, alongside a tea lounge for tastings. Accommodations and a kiddie park cater to families, while the English-inspired architecture and serene valleys evoke a timeless elegance. Its proximity to Nuwara Eliya makes it a popular stop for tea enthusiasts"
LOC_18,Dambatenne Tea Factory,Haputale,Uva Province,Farms,6.7833795,81.00340279999999,3.36,172,"['Factory Tours', 'Agricultural Workshops']","Founded by Sir Thomas Lipton in 1890, Dambatenne Tea Factory is a working plantation near Haputale. The estate showcases tea production stages—from drying to grading—using century-old machinery. The factory’s colonial history and ties to the Lipton’s Tea brand are palpable, while the surrounding valleys and Lipton’s Seat (a panoramic viewpoint) add to its allure. Visitors can walk through the tea fields, immersing themselves in Sri Lanka’s tea legacy"
