User_ID,Age,User_Interest,Preferred_Destination,Budget,Travel_Style
U0001,20,Cultural Tours,"Gregory Lake, Community Tsunami Museum",Low,Balanced
U0002,22,"Educational Tours, Rafting, Cultural Activities",Arugam Bay,Medium,Luxury
U0003,19,Animal Watching,"Pinnawala Elephant Orphanage, Sea Turtle Farm Galle Mahamodara, Ceylon Tea Museum",Low,Backpacker
U0004,25,"Yoga, Rafting, Boating","Colombo National Museum, Arugam Bay",Low,Adventurous
U0005,24,"Kit Surfing, Swimming","Jaya Sri Maha Bodhi, Polonnaruwa, Ritigala Forest Monastery",Low,Relaxed
U0006,20,"Architectural Marvel, Wildlife Spotting",Arugam Bay,Medium,Relaxed
U0007,23,"Surfing, Animal Watching, Sunbathing",Lover's Leap Falls,High,Relaxed
U0008,19,"Boating, Cultural Tours, Kite Surfing","Lover's Leap Falls, Handunugoda Tea Estate, Jaya Sri Maha Bodhi",Medium,Balanced
U0009,19,"Nature Walks, Jet Skiing",Kelaniya Raja Maha Vihara,High,Balanced
U0010,18,"Historical Exploration, Wildlife Safaris, Learning History",Udawalawe National Park,High,Balanced
U0011,21,"Animal Watching, Fruit Picking",Bentota Beach,High,Luxury
U0012,20,Walking Trails,"Temple of the Sacred Tooth Relic, Mihintale, Victoria Park of Nuwara Eliya",Medium,Luxury
U0013,23,"Educational Tours, Swimming, Fruit Picking",Dambatenne Tea Factory,Low,Adventurous
U0014,18,"Hiking, Yoga, Sunbathing","Horton Plains National Park, National Zoological Gardens of Sri Lanka, Wilpattu National Park",Medium,Adventurous
U0015,18,Kit Surfing,"Ravana Ella Falls, Arugam Bay",High,Backpacker
U0016,24,Trekking,National Zoological Gardens of Sri Lanka,Low,Relaxed
U0017,24,"Photography, Farm Tours, Rafting","Colombo National Museum, Ceylon Tea Museum, Kalametiya Eco Bird Watching",Medium,Luxury
U0018,23,"Trekking, Yoga",Dambulla Cave Temple,Low,Backpacker
U0019,21,"Yoga, Hiking","Negombo Beach, Gregory Lake",Low,Adventurous
U0020,18,"Photography, Snorkeling","Kalametiya Eco Bird Watching, Hakgala Botanic Gardens",High,Adventurous
U0021,19,"Kite Surfing, Worship, Animal Watching",Diyaluma Falls,High,Relaxed
U0022,22,"Worship, Kite Surfing",Arugam Bay,Low,Balanced
U0023,19,Kite Surfing,"Bentota Beach, Tissa Wewa",Low,Relaxed
U0024,18,"Boating, Exploring Exhibits","Mount Lavinia Beach, Ramboda Waterfall, Mirissa Beach",Low,Relaxed
U0025,23,Trekking,"Passikudah Beach, Temple of the Sacred Tooth Relic, Jethawanaramaya Stupa",High,Adventurous
U0026,18,"Exploring Exhibits, Rafting",Jethawanaramaya Stupa,Low,Adventurous
U0027,21,Beach Hopping,"Ceylon Tea Museum, Minneriya Tusker Safaris, Horton Plains National Park",High,Balanced
U0028,19,"Surfing, Animal Watching","Ceylon Tea Museum, Minneriya Tusker Safaris, Koneswaram Temple",Medium,Adventurous
U0029,23,"Agricultural Workshops, Wildlife Spotting",,High,Luxury
U0030,25,"Snorkeling, Wildlife Safaris, Learning History","Jaya Sri Maha Bodhi, Pigeon Island National Park, Diyaluma Falls",Low,Luxury
U0031,20,"Educational Tours, Surfing","Dagoba of Thuparama, Sinharaja Forest Reserve, Bundala National Park",Low,Relaxed
U0032,21,"Rafting, Cultural Tours, Snorkeling","Horton Plains National Park, New Ranweli Spice Garden, Jungle Beach",Low,Relaxed
U0033,24,"Swimming, Hiking , Tea Plucking","Udawalawe National Park, Pigeon Island National Park",Medium,Balanced
U0034,22,"Nature Walks, Nature Photography",Koneswaram Temple,Medium,Adventurous
U0035,24,Kayaking,"Ceylon Tea Museum, Ruwanwelisaya",Low,Luxury
U0036,24,"Fishing, Rafting",,Low,Balanced
U0037,25,"Boating, Beach Hopping","Mount Lavinia Beach, Nallur Kovil, Samadhi Statue",Low,Luxury
U0038,18,Relaxation,"Dambulla Cave Temple, Twin Baths (Kuttam Pokuna)",Medium,Relaxed
U0039,19,"Hiking, Nature Photography, Fishing","Hakgala Botanic Gardens, Sigiriya Museum",High,Luxury
U0040,20,"Jet Skiing, Wildlife Safaris, Agricultural Workshops","Ruwanwelisaya, Diyaluma Falls",Medium,Balanced
U0041,18,Rafting,World Buddhist Museum,High,Balanced
U0042,24,"Cultural Activities, Wildlife, Educational Tours",,Medium,Relaxed
U0043,20,Agricultural Workshops,,Medium,Luxury
U0044,19,"Guided Tours, Wildlife Spotting, Boat Tours","Jaya Sri Maha Bodhi, Nallur Kovil",Low,Adventurous
U0045,24,Animal Watching,Martin Wickramasinghe Folk Museum Complex,Medium,Luxury
U0046,24,"Learning History, Farm Tours, Tea Plucking","Community Tsunami Museum, Ruwanwelisaya",Medium,Backpacker
U0047,25,"Walking Trails, Bird Watching, Jet Skiing","Damro Labookellie Tea Centre and Tea Garden, Polonnaruwa",High,Luxury
U0048,21,Wildlife Safaris,"Kumana National Park, Pigeon Island National Park, Ravana Ella Falls",Medium,Relaxed
U0049,19,"Learning History, Exploring Exhibits, Bird Watching","Gangaramaya (Vihara) Buddhist Temple, Martin Wickramasinghe Folk Museum Complex, Negombo Beach",High,Backpacker
U0050,18,"Architectural Marvel, Nature Photography, Wildlife Safaris","Sigiriya The Ancient Rock Fortress, Pigeon Island National Park",High,Luxury
U0051,24,"Kayaking, Worship, Fruit Picking",Sigiriya Museum,High,Adventurous
U0052,18,"Boating, Jet Skiing, Nature Photography","Gangaramaya (Vihara) Buddhist Temple, Ritigala Forest Monastery, New Ranweli Spice Garden",Medium,Balanced
U0053,23,"Walking Trails, Cultural Tours",Jaffna Fort,Medium,Relaxed
U0054,19,Relaxation,"Hikkaduwa Beach, National Zoological Gardens of Sri Lanka",Medium,Relaxed
U0055,24,Swimming,Glenloch Tea Factory,Medium,Backpacker
U0056,24,"Swimming, Cultural Activities, Snorkeling","Martin Wickramasinghe Folk Museum Complex, Sea Turtle Farm Galle Mahamodara, Lover's Leap Falls",Low,Adventurous
U0057,23,"Worship, Nature Walks","Marble Beach, Samadhi Statue",Low,Luxury
U0058,22,"Worship, Rafting",Ceylon Tea Museum,Medium,Luxury
U0059,20,Animal Watching,"Mihintale, Ruwanwelisaya",Low,Adventurous
U0060,25,Wildlife,"Pigeon Island National Park, Ceylon Tea Museum, Community Tsunami Museum",Medium,Backpacker
U0061,20,"Wildlife Spotting, Hiking",,High,Relaxed
U0062,23,"Historical Exploration, Relaxation, Yoga",Minneriya National Park,High,Luxury
U0063,25,"Educational Tours, Relaxation","New Ranweli Spice Garden, Bluefield Tea Gardens, Polonnaruwa",High,Luxury
U0064,25,Beach Hopping,"Handunugoda Tea Estate, Community Tsunami Museum",Low,Relaxed
U0065,24,Wildlife,"Ramboda Waterfall, Brief Garden - Bevis Bawa, Dagoba of Thuparama",Medium,Adventurous
U0066,25,"Photography, Architectural Marvel, Bird Watching",,High,Backpacker
U0067,19,Guided Tours,Koneswaram Temple,Medium,Luxury
U0068,22,Relaxation,"Horton Plains National Park, New Ranweli Spice Garden, Kalametiya Eco Bird Watching",Medium,Balanced
U0069,22,"Cultural Exploration, Yoga",Ritigala Forest Monastery,Medium,Adventurous
U0070,18,"Hiking, Beach Hopping, Learning History","Kaudulla National Park, Sea Turtle Farm Galle Mahamodara, Mirissa Beach",High,Relaxed
U0071,23,"Yoga, Animal Watching, Cultural Exploration",,Medium,Balanced
U0072,19,Bird Watching,"Temple of the Sacred Tooth Relic, Ceylon Tea Museum, New Ranweli Spice Garden",Medium,Relaxed
U0073,22,"Architectural Marvel, Cultural Activities",,Low,Adventurous
U0074,21,"Farm Tours, Photography","Ariyapala Mask Museum, Mount Lavinia Beach",Low,Luxury
U0075,18,Surfing,Galle Fort,Medium,Balanced
U0076,19,"Guided Tours, Learning History, Cultural Exploration","Minneriya Tusker Safaris, Negombo Beach, Kumana National Park",High,Relaxed
U0077,22,"Sunbathing, Sightseeing","Bluefield Tea Gardens, Ritigala Forest Monastery, Brief Garden - Bevis Bawa",Medium,Backpacker
U0078,25,"Jeep Safaris, Beach Hopping","St Clair's Falls, Pedro Tea Factory",Low,Adventurous
U0079,19,"Cultural Activities, Yoga, Swimming",Jaya Sri Maha Bodhi,Medium,Backpacker
U0080,20,"Kayaking, Fishing",,High,Balanced
U0081,19,"Hiking, Farm Tours, Jeep Safaris","St Clair's Falls, Mirissa Beach, Bentota Beach",Medium,Relaxed
U0082,22,"Yoga, Guided Tours","Samadhi Statue, Victoria Park of Nuwara Eliya, Ariyapala Mask Museum",Medium,Backpacker
U0083,23,"Kite Surfing, Cultural Activities, Sunbathing",Hikkaduwa Beach,Medium,Relaxed
U0084,22,"Fruit Picking, Surfing, Yoga","Colombo National Museum, Royal Botanical Gardens",High,Backpacker
U0085,25,Surfing,"Kaudulla National Park, Sea Turtle Farm Galle Mahamodara",High,Balanced
U0086,24,"Swimming, Architectural Marvel, Walking Trails",Minneriya Tusker Safaris,High,Balanced
U0087,25,"Yoga, Walking Trails","Negombo Beach, Bluefield Tea Gardens",Low,Balanced
U0088,24,"Snorkeling, Sunbathing","Kelaniya Raja Maha Vihara, Ariyapala Mask Museum",Low,Backpacker
U0089,21,"Wildlife Safaris, Swimming, Agricultural Workshops",Nallur Kovil,Medium,Balanced
U0090,25,Meditation," Royal Botanical Gardens, Jaya Sri Maha Bodhi",Medium,Relaxed
U0091,20,"Fruit Picking, Snorkeling, Cultural Activities","Arugam Bay, Kandy Lake",Medium,Adventurous
U0092,18,Architectural Marvel,"Sea Turtle Farm Galle Mahamodara, Koneswaram Temple",Medium,Luxury
U0093,21,Agricultural Workshops,"Negombo Beach, Ceylon Tea Museum, Udawattekele Sanctuary",Medium,Luxury
U0094,24,Animal Watching,Negombo Beach,Medium,Adventurous
U0095,18,"Agricultural Workshops, Architectural Marvel, Meditation",Bentota Beach,High,Adventurous
U0096,25,"Sunbathing, Boat Tours, Sightseeing",,Low,Adventurous
U0097,23,"Exploring Exhibits, Trekking","Sea Turtle Farm Galle Mahamodara, Samadhi Statue",High,Adventurous
U0098,23,"Tea Plucking, Nature Photography","Kelaniya Raja Maha Vihara, Pedro Tea Factory",Medium,Relaxed
U0099,18,"Hiking , Exploring Exhibits, Rafting",Jungle Beach,Medium,Luxury
U0100,18,"Hiking, Educational Tours","Bentota Beach, Brief Garden - Bevis Bawa, Colombo National Museum",Medium,Adventurous
U0101,21,Wildlife Safaris,Nilaveli Beach,Medium,Backpacker
U0102,18,Nature Photography,,Medium,Relaxed
U0103,19,Beach Hopping,,Medium,Balanced
