message,intent
Good evening folks!,greet
Had great street food in Colombo!,share_experience
I am free first weekend of next month,plan_trip
Is Hiriketiya crowded in December?,ask_help
Is anyone interested in a trip to Dambulla?,plan_trip
Pettah shopping was fun chaos,share_experience
I’d love to go to Kandy next week,plan_trip
Do we need to pre-book tickets for Perahera?,ask_help
How about a historical tour in Anuradhapura?,plan_trip
Let's organize a food tour in Colombo,plan_trip
What's the best route to Ella?,ask_help
"Took the scenic train to Badulla, unforgettable",share_experience
I'm excited!,general
Ambuluwawa Tower was totally worth it,share_experience
How about a trip to Nuwara Eliya?,plan_trip
My favorite trip was to Haputale,share_experience
Hey team,greet
Let's visit a waterfall spot this month,plan_trip
We can plan a group hike,plan_trip
Any cheap hostels near Gregory Lake?,ask_help
Adventure weekend in Knuckles?,plan_trip
Hey everyone!,greet
I hiked Little Adam's Peak last year,share_experience
How about visiting Horton Plains?,plan_trip
Traveled solo to Arugam Bay - awesome waves,share_experience
Haha true that,general
Do trains stop at Demodara loop?,ask_help
We should travel during Vesak holidays,plan_trip
That's cool,general
The beaches in Tangalle are hidden gems,share_experience
Good morning group!,greet
Shall we head to Jaffna next month?,plan_trip
Should we go to Little Adam's Peak?,plan_trip
"Hi guys, excited to be here!",greet
Let's gooo!,general
Best seafood at Negombo fish market,share_experience
We should plan something in August,plan_trip
Trip on 22nd okay?,plan_trip
What's the best place to watch sunrise in Ella?,ask_help
Best app to book hostels?,ask_help
Enjoyed cycling around Anuradhapura,share_experience
Anyone done a budget trip to Arugam?,ask_help
"Which waterfall is better, Diyaluma or Ravana?",ask_help
Can we plan a weekend getaway?,plan_trip
Saw elephants in Udawalawe!,share_experience
The Galle Fort sunset is the best thing ever,share_experience
Ella plan confirmed?,plan_trip
Climbed Pidurangala - better view than Sigiriya!,share_experience
Nanu Oya station views are stunning,share_experience
How many are in for a trip to Nuwara?,plan_trip
Let's do a cultural tour,plan_trip
Colombo to Ella sounds fun for next week,plan_trip
Do we need a guide for Horton Plains?,ask_help
Any tips for first timers in Jaffna?,ask_help
I loved snorkeling in Trincomalee,share_experience
Let's do a quick beach trip,plan_trip
How cold does Nuwara Eliya get?,ask_help
Do we all agree on Trinco for the 15th?,plan_trip
The train ride to Nuwara Eliya is awesome!,share_experience
Any suggestions for budget stays?,ask_help
Kandy Perahera was a beautiful experience,share_experience
Are there night trains to Jaffna?,ask_help
Where can we eat cheap in Trinco?,ask_help
Finalizing on Hikkaduwa?,plan_trip
Where's the weather cooler in August?,ask_help
How much does a day in Galle cost?,ask_help
Awesome camping in Riverston,share_experience
Welcome to the group!,greet
Weligama surf was decent,share_experience
Tried hoppers for the first time - 10/10,share_experience
Want to hike in Hanthana range?,plan_trip
Hi all,greet
Need help booking a hotel,ask_help
Camping in Knuckles was unforgettable,share_experience
Should we book tickets for Kandy?,plan_trip
Is it safe to travel solo?,ask_help
Unawatuna Beach is really peaceful,share_experience
We can travel on a budget to Arugam Bay,plan_trip
How do we split accommodation costs?,ask_help
Two-day trip to Sigiriya?,plan_trip
Rented a scooter in Hiriketiya,share_experience
Went whale watching in Mirissa,share_experience
Can someone share their itinerary?,ask_help
Is there mobile coverage in Knuckles?,ask_help
Awesome,general
Sure,general
Which beaches are best for September?,ask_help
Who's up for an early morning train trip?,plan_trip
Let's ride to Galle fort,plan_trip
Nice plan!,general
Hello there!,greet
Let's organize a trip to Mirissa,plan_trip
Thinking of visiting Sigiriya,plan_trip
We need to plan something this long weekend,plan_trip
Had a great tuk tuk driver in Kandy,share_experience
That sounds great!,general
Let's visit Trinco this Poya day,plan_trip
How to reach Lipton's Seat from Haputale?,ask_help
Best way to visit temple of the tooth?,ask_help
Shall we plan something before exams?,plan_trip
