Destination,Activity
Abhayagiri Dagaba,Agricultural Workshops
Ambewela Farms,Animal Watching
Ariyapala Mask Museum,Architectural Marvel
Arugam Bay,Beach Hopping
Baker'S Falls,Bird Watching
Bentota Beach,Boat Tours
Bluefield Tea Gardens,Boating
Brief Garden - Bevis Bawa,Cultural Activities
Bundala National Park,Cultural Exploration
Ceylon Tea Museum,Cultural Tours
Colombo National Museum,Educational Tours
Community Tsunami Museum,Exploring Exhibits
Dagoba Of Thuparama,Farm Tours
Dambatenne Tea Factory,Fishing
Dambulla Cave Temple,Fruit Picking
Damro Labookellie Tea Centre,Guided Tours
Diyaluma Falls,Hiking
Ella,Historical Exploration
Galle Fort,Jeep Safaris
Gangaramaya (Vihara) Buddhist Temple,Jet Skiing
Glenloch Tea Factory,Kayaking
Gregory Lake,Kit Surfing
Hakgala Botanic Gardens,Kite Surfing
Halpewatte Tea Factory Tour,Learning History
Handunugoda Tea Estate,Meditation
Hikkaduwa Beach,Nature Photography
Horton Plains National Park,Nature Walks
Isurumuniya Temple,Photography
Jaffna Fort,Rafting
Jaya Sri Maha Bodhi,Relaxation
Jethawanaramaya Stupa,Sightseeing
Jungle Beach,Snorkeling
Kalametiya Eco Bird Watching,Sunbathing
Kalutara Beach,Surfing
Kandy,Swimming
Kandy Lake,Tea Plucking
Kaudulla National Park,Trekking
Kelaniya Raja Maha Vihara,Walking Trails
Koneswaram Temple,Wildlife
Kumana National Park,Wildlife Safaris
Lover'S Leap Falls,Wildlife Spotting
Marble Beach,Worship
Martin Wickramasinghe Folk Museum Complex,Yoga
Mihintale,Safari
Minneriya National Park,Elephant Watching
Minneriya Tusker Safaris,Rock Climbing
Mirissa Beach,Scenic Train Ride
Mount Lavinia Beach,Train Ride
Nallur Kovil,Waterfall Bathing
National Zoological Gardens Of Sri Lanka,Street Food Tour
Negombo Beach,Cycling
New Ranweli Spice Garden,Camping
Nilaveli Beach,Walking
Passikudah Beach,Walk
Pedro Tea Factory,Hike
Pigeon Island National Park,
Pinnawala Elephant Orphanage,
Polonnaruwa,
Ramboda Waterfall,
Ravana Ella Falls,
Ritigala Forest Monastery,
Royal Botanical Gardens,
Ruwanwelisaya,
Samadhi Statue,
Sea Turtle Farm Galle Mahamodara,
Sigiriya,
Sigiriya Museum,
Sigiriya The Ancient Rock Fortress,
Sinharaja Forest Reserve,
St Clair'S Falls,
Tea Garden,
Temple Of The Sacred Tooth Relic,
Tissa Wewa,
Trincomalee,
Twin Baths (Kuttam Pokuna),
Udawalawe National Park,
Udawattekele Sanctuary,
Victoria Park Of Nuwara Eliya,
Wilpattu National Park,
World Buddhist Museum,
Yala,
Galle,
Nuwara Eliya,
Jaffna,
Sigiriya,
Kandy,
Colombo,
Anuradhapura,
Negombo,
Matara,
Dambulla,
Haputale,
Mirissa,
Badulla,
Bentota,
Hambantota,
Minneriya,
Little Adam's peak,
Nine Arches bridge,
Lipton's Seat,
Adam's Peak,
Hiriketiya,
Uppuveli,
Nilaveli,
Pidurangala Rock,
Ella Rock,
Thalpe Beach,
Unawatuna,
Victoria Park,
