Group_ID,Group_Name,Status,Budget,Travel_Style,Destinations_Planned,Group_Interest,Current_Members
G0001,Radiant Nomads,Active,High,Relaxed,"Wilpattu National Park, Sinharaja Forest Reserve, Diyaluma Falls","Kite Surfing, Agricultural Workshops",9
G0002,Adventurous Nomads,Inactive,Medium,Relaxed,"Ravana Ella Falls, Samadhi Statue, Brief Garden - Bevis Bawa, Ritigala Forest Monastery","Hiking, Fruit Picking",0
G0003,Thrilling Questers,Active,High,Adventurous,"Brief Garden - Bevis Bawa, Ceylon Tea Museum, Sigiriya The Ancient Rock Fortress, Pigeon Island National Park","Swimming, Agricultural Workshops",6
G0004,Wanderlust Discoverers,Inactive,Low,Relaxed,"Pedro Tea Factory, Pigeon Island National Park","Animal Watching, Swimming",0
G0005,Radiant Sojourners,Inactive,Medium,Luxury,"Diyaluma Falls, Ariyapala Mask Museum, Brief Garden - Bevis Bawa","Cultural Tours, Hiking ",0
G0006,Lively Wanderers,Inactive,Low,Balanced,"Colombo National Museum, Pigeon Island National Park, World Buddhist Museum","Sightseeing, Hiking",0
G0007,Elite Pioneers,Active,Medium,Adventurous,"Kandy Lake, Polonnaruwa","Tea Plucking, Rafting",2
G0008,Energetic Pathfinders,Active,High,Balanced,"National Zoological Gardens of Sri Lanka, Marble Beach, Bundala National Park","Animal Watching, Fishing",10
G0009,Epic Drifters,Inactive,Low,Backpacker,"Bluefield Tea Gardens, Royal Botanical Gardens","Educational Tours, Historical Exploration",0
G0010,Cheerful Wanderers,Inactive,High,Adventurous,"Wilpattu National Park, Victoria Park of Nuwara Eliya, Mihintale","Fishing, Kite Surfing",0
G0011,Epic Pioneers,Active,High,Adventurous,"Jaya Sri Maha Bodhi, New Ranweli Spice Garden, Udawalawe National Park","Sightseeing, Wildlife Safaris",7
G0012,Brave Travellers,Active,Medium,Backpacker,"Ariyapala Mask Museum, Udawattekele Sanctuary, Udawalawe National Park, Pigeon Island National Park","Swimming, Boating",6
G0013,Relaxing Pioneers,Active,Medium,Backpacker,"Marble Beach, Tissa Wewa, Baker's Falls","Nature Photography, Boating",1
G0014,Relaxing Sojourners,Active,Medium,Adventurous,Samadhi Statue,"Hiking , Kit Surfing",2
G0015,Majestic Adventurers,Inactive,High,Balanced,Mount Lavinia Beach,"Hiking , Meditation",0
G0016,Cultural Globetrotters,Active,Low,Backpacker,"World Buddhist Museum, Samadhi Statue, Ramboda Waterfall, Community Tsunami Museum, Ruwanwelisaya","Trekking, Animal Watching",10
G0017,Majestic Seekers,Inactive,Medium,Backpacker,"Wilpattu National Park, Sea Turtle Farm Galle Mahamodara","Photography, Cultural Exploration",0
G0018,Explorer Adventurers,Inactive,Low,Backpacker,"Abhayagiri Dagaba, Baker's Falls, Udawattekele Sanctuary","Animal Watching, Hiking ",0
G0019,Vibrant Escapists,Active,High,Adventurous,"Kandy Lake, St Clair's Falls, Nilaveli Beach","Animal Watching, Architectural Marvel",5
G0020,Energetic Escapists,Active,High,Relaxed,"Jaffna Fort, Polonnaruwa, Dagoba of Thuparama, Samadhi Statue, Glenloch Tea Factory","Nature Walks, Surfing",8
G0021,Thrilling Dreamers,Active,Low,Balanced,"Colombo National Museum, Koneswaram Temple, Ambewela Farms","Tea Plucking, Animal Watching",3
G0022,Majestic Dreamers,Active,Low,Relaxed,"Twin Baths (Kuttam Pokuna), Gangaramaya (Vihara) Buddhist Temple","Learning History, Wildlife Spotting",8
G0023,Epic Travellers,Active,Medium,Backpacker,"Sigiriya Museum, Galle Fort, Glenloch Tea Factory","Worship, Cultural Tours",4
G0024,Wanderlust Pioneers,Inactive,High,Luxury,"Lover's Leap Falls, World Buddhist Museum, Ritigala Forest Monastery, Ravana Ella Falls, Arugam Bay","Educational Tours, Kit Surfing",0
G0025,Vibrant Explorers,Active,Low,Adventurous,"Diyaluma Falls, Ariyapala Mask Museum, Brief Garden - Bevis Bawa","Architectural Marvel, Hiking ",1
G0026,Fearless Globetrotters,Active,Low,Relaxed,"Kumana National Park, Abhayagiri Dagaba, Martin Wickramasinghe Folk Museum Complex","Boating, Surfing",7
G0027,Spirited Seekers,Inactive,Medium,Backpacker,Jaffna Fort,"Farm Tours, Sightseeing",0
G0028,Lively Navigators,Inactive,High,Adventurous,"Marble Beach, Kalametiya Eco Bird Watching, Wilpattu National Park, Baker's Falls, Isurumuniya Temple","Learning History, Guided Tours",0
G0029,Cultural Trailblazers,Active,Medium,Relaxed,"Wilpattu National Park, Jethawanaramaya Stupa, Pedro Tea Factory","Relaxation, Kit Surfing",7
G0030,Fearless Wanderers,Inactive,Low,Backpacker,"Jaya Sri Maha Bodhi, Nallur Kovil, Damro Labookellie Tea Centre and Tea Garden, Passikudah Beach, Twin Baths (Kuttam Pokuna)","Swimming, Hiking",0
