User_ID,User_Country,User_Age_Group,Gender,Travel_Companion,Location_Type,Preferred_Activities
User 1,Australia,36-50,Male,Family,"['Nature & Wildlife Areas', 'Gardens', 'Beaches']","['Wildlife Safaris', 'Fishing', 'Factory Tours', 'Hiking']"
User 2,Australia,26-35,Male,Friends,"['Nature & Wildlife Areas', 'National Parks', 'Beaches']","['Cultural Tours', 'Boat Tours', 'Sightseeing', 'Snorkeling']"
User 3,Australia,18-25,Male,Friends,"['National Parks', 'Beaches']","['Boat Tours', 'Jet Skiing', 'Hiking', 'Rafting']"
User 4,Portugal,18-25,Male,Solo,"['Museums', 'Farms', 'Beaches']","['Yoga', 'Photography', 'Jet Skiing', 'Snorkeling']"
User 5,Italy,18-25,Male,Family,"['Religious Sites', 'Historic Sites', 'Beaches']","['Rafting', 'Wildlife Spotting', 'Hiking', 'Jet Skiing']"
User 6,United Arab Emirates,18-25,Female,Solo,"['Historic Sites', 'Beaches']","['Beach Hopping', 'Nature Walks', 'Photography', 'Hiking']"
User 7,Indonesia,36-50,Male,Friends,"['Historic Sites', 'Beaches']","['Historical Exploration', 'Hiking', 'Walking Trails', 'Bird Watching']"
User 8,Canada,18-25,Female,Solo,"['Historic Sites', 'Beaches', 'Bodies of Water']","['Nature Walks', 'Photography', 'Beach Hopping', 'Snorkeling']"
User 9,New Zealand,36-50,Male,Family,"['Beaches', 'Historic Sites', 'Farms']","['Agricultural Workshops', 'Historical Exploration', 'Wildlife Safaris', 'Hiking']"
User 10,United Kingdom,51+,Female,Couple,"['Museums', 'Historic Sites', 'Beaches']","['Cultural Activities', 'Meditation', 'Relaxation']"
User 11,United Kingdom,18-25,Female,Friends,"['Waterfalls', 'Beaches', 'Bodies of Water']","['Boat Tours', 'Beach Hopping', 'Snorkeling', 'Surfing']"
User 12,Japan,36-50,Male,Family,"['Gardens', 'Beaches']","['Fishing', 'Historical Exploration', 'Wildlife Safaris', 'Hiking']"
User 13,Australia,26-35,Female,Family,"['Historic Sites', 'Beaches']","['Photography', 'Yoga', 'Nature Walks']"
User 14,United Kingdom,26-35,Male,Family,"['Religious Sites', 'Beaches']","['Hiking', 'Sightseeing', 'Cultural Tours']"
User 15,Germany,18-25,Female,Couple,"['Beaches', 'Zoological Gardens']","['Relaxation', 'Yoga', 'Beach Hopping', 'Sunbathing']"
User 16,Ukraine,18-25,Female,Solo,"['Nature & Wildlife Areas', 'Beaches']","['Photography', 'Hiking', 'Nature Walks', 'Yoga']"
User 17,United Kingdom,26-35,Female,Couple,"['National Parks', 'Beaches']","['Sunbathing', 'Meditation', 'Yoga']"
User 18,India,26-35,Male,Family,"['Beaches', 'Nature & Wildlife Areas', 'Religious Sites']","['Wildlife Spotting', 'Factory Tours', 'Cultural Tours']"
User 19,United Kingdom,51+,Male,Friends,"['Waterfalls', 'Historic Sites', 'Beaches', 'Museums', 'Gardens', 'Religious Sites']","['Meditation', 'Wildlife Safaris', 'Worship']"
User 20,Viet Nam,51+,Female,Friends,"['Religious Sites', 'National Parks', 'Beaches']","['Cultural Exploration', 'Gardens', 'Worship', 'Nature Walks']"
User 21,New Zealand,26-35,Male,Friends,"['Waterfalls', 'Gardens', 'Beaches']","['Snorkeling', 'Sightseeing', 'Cultural Tours']"
User 22,United States,51+,Female,Friends,"['Farms', 'Beaches']","['Gardens', 'Worship', 'Bird Watching', 'Relaxation']"
User 23,United Kingdom,26-35,Male,Couple,"['National Parks', 'Gardens', 'Beaches']","['Beach Hopping', 'Relaxation', 'Hiking', 'Sightseeing']"
User 24,Ireland,36-50,Male,Friends,"['Waterfalls', 'Museums', 'Beaches']","['Wildlife Safaris', 'Historical Exploration', 'Fishing', 'Hiking']"
User 25,United Kingdom,51+,Female,Friends,"['National Parks', 'Beaches']","['Relaxation', 'Cultural Exploration', 'Meditation']"
User 26,United Kingdom,26-35,Female,Couple,"['Farms', 'Beaches']","['Nature Walks', 'Yoga', 'Sunbathing', 'Meditation']"
User 27,Australia,51+,Female,Solo,"['Waterfalls', 'Historic Sites', 'Beaches']","['Meditation', 'Educational Tours', 'Worship', 'Sightseeing']"
User 28,United Kingdom,18-25,Female,Friends,"['Religious Sites', 'Beaches', 'Bodies of Water']","['Snorkeling', 'Beach Hopping', 'Boat Tours']"
User 29,Austria,36-50,Female,Solo,"['Nature & Wildlife Areas', 'Beaches']","['Tea Plucking', 'Photography', 'Worship', 'Educational Tours']"
User 30,Italy,36-50,Female,Couple,"['Beaches', 'Zoological Gardens']","['Farm Tours', 'Wildlife Spotting', 'Cultural Tours']"
User 31,Australia,51+,Male,Solo,"['Gardens', 'Beaches']","['Sightseeing', 'Meditation', 'Photography']"
User 32,United Kingdom,51+,Male,Solo,"['Religious Sites', 'Beaches']","['Worship', 'Meditation', 'Sightseeing']"
User 33,United Kingdom,18-25,Female,Couple,"['Museums', 'Beaches']","['Snorkeling', 'Sunbathing', 'Photography']"
User 34,Czechia,18-25,Female,Couple,"['Museums', 'National Parks', 'Beaches']","['Yoga', 'Sunbathing', 'Photography', 'Beach Hopping']"
User 35,Australia,36-50,Male,Family,"['National Parks', 'Beaches']","['Hiking', 'Historical Exploration', 'Fishing']"
User 36,United States,36-50,Male,Friends,"['Museums', 'Beaches']","['Fishing', 'Walking Trails', 'Boating']"
User 37,Netherlands,18-25,Female,Family,"['Museums', 'National Parks', 'Religious Sites', 'Beaches']","['Wildlife Spotting', 'Beach Hopping', 'Sightseeing']"
User 38,Myanmar,18-25,Male,Family,"['Historic Sites', 'Beaches']","['Snorkeling', 'Rafting', 'Surfing']"
User 39,United Kingdom,18-25,Female,Couple,"['Nature & Wildlife Areas', 'Religious Sites', 'Beaches']","['Relaxation', 'Nature Walks', 'Sunbathing', 'Photography']"
User 40,United Kingdom,36-50,Male,Friends,"['Nature & Wildlife Areas', 'Religious Sites', 'Beaches']","['Walking Trails', 'Historical Exploration', 'Hiking']"
User 41,Germany,26-35,Male,Friends,"['Waterfalls', 'Beaches']","['Hiking', 'Sightseeing', 'Snorkeling', 'Boat Tours']"
User 42,Canada,36-50,Female,Solo,"['Historic Sites', 'Gardens', 'Beaches']","['Photography', 'Educational Tours', 'Farm Tours']"
User 43,Czechia,36-50,Female,Couple,"['Museums', 'Beaches']","['Farm Tours', 'Nature Walks', 'Tea Plucking', 'Cultural Tours']"
User 44,United Arab Emirates,26-35,Male,Friends,"['Historic Sites', 'Beaches']","['Cultural Tours', 'Snorkeling', 'Sightseeing', 'Boat Tours']"
User 45,United States,51+,Female,Solo,"['Nature & Wildlife Areas', 'Beaches']","['Photography', 'Sightseeing', 'Educational Tours']"
User 46,Australia,18-25,Male,Friends,"['Waterfalls', 'Historic Sites', 'Beaches']","['Snorkeling', 'Jet Skiing', 'Rafting']"
User 47,Portugal,18-25,Male,Couple,"['Nature & Wildlife Areas', 'Beaches']","['Yoga', 'Hiking', 'Rafting']"
User 48,Australia,36-50,Male,Family,"['Waterfalls', 'Historic Sites', 'Beaches']","['Hiking', 'Agricultural Workshops', 'Historical Exploration', 'Factory Tours']"
User 49,United Kingdom,36-50,Male,Solo,"['Farms', 'Beaches']","['Photography', 'Hiking', 'Educational Tours']"
User 50,Germany,18-25,Male,Family,"['Religious Sites', 'Beaches']","['Rafting', 'Jet Skiing', 'Hiking']"
User 51,Slovenia,26-35,Male,Solo,"['Religious Sites', 'Beaches']","['Photography', 'Sightseeing', 'Hiking']"
User 52,United Kingdom,36-50,Male,Friends,"['Beaches', 'Bodies of Water']","['Historical Exploration', 'Wildlife Safaris', 'Hiking']"
User 53,Qatar,51+,Female,Friends,"['Farms', 'Beaches']","['Nature Walks', 'Meditation', 'Cultural Exploration']"
User 54,Netherlands,36-50,Male,Couple,"['National Parks', 'Beaches']","['Fishing', 'Historical Exploration', 'Nature Walks', 'Wildlife Safaris']"
User 55,United Arab Emirates,51+,Male,Friends,"['Religious Sites', 'Beaches']","['Nature Walks', 'Wildlife Safaris', 'Meditation']"
User 56,India,51+,Male,Solo,"['Beaches', 'Zoological Gardens']","['Sightseeing', 'Educational Tours', 'Gardens', 'Wildlife Safaris']"
User 57,Australia,18-25,Male,Couple,"['Farms', 'Beaches']","['Hiking', 'Snorkeling', 'Boat Tours']"
User 58,Australia,36-50,Male,Friends,"['Historic Sites', 'Beaches']","['Boating', 'Bird Watching', 'Fishing', 'Wildlife Safaris']"
User 59,United States,51+,Male,Family,"['Beaches', 'Zoological Gardens']","['Gardens', 'Historical Exploration', 'Wildlife Safaris']"
User 60,Greece,26-35,Male,Couple,"['National Parks', 'Beaches']","['Sunbathing', 'Cultural Tours', 'Beach Hopping']"
User 61,United Kingdom,26-35,Male,Solo,"['Beaches', 'Bodies of Water']","['Cultural Exploration', 'Sightseeing', 'Photography']"
User 62,Ireland,26-35,Female,Solo,"['Farms', 'National Parks', 'Beaches', 'Nature & Wildlife Areas', 'Gardens']","['Nature Walks', 'Photography', 'Meditation', 'Guided Tours']"
User 63,Germany,36-50,Female,Couple,"['Religious Sites', 'Beaches']","['Wildlife Spotting', 'Nature Walks', 'Cultural Tours']"
User 64,United States,51+,Male,Friends,"['Nature & Wildlife Areas', 'Religious Sites', 'Historic Sites', 'Beaches']","['Wildlife Safaris', 'Worship', 'Meditation']"
User 65,Israel,36-50,Female,Friends,"['Waterfalls', 'Beaches', 'Bodies of Water']","['Cultural Tours', 'Bird Watching', 'Walking Trails']"
User 66,Australia,18-25,Female,Solo,"['Gardens', 'Beaches']","['Beach Hopping', 'Snorkeling', 'Hiking', 'Nature Walks']"
User 67,Belgium,26-35,Female,Couple,"['Beaches', 'Gardens']","['Photography', 'Relaxation', 'Sunbathing', 'Nature Walks']"
User 68,United States,36-50,Female,Family,"['Museums', 'Gardens', 'Beaches']","['Historical Exploration', 'Farm Tours', 'Cultural Tours']"
User 69,Italy,36-50,Female,Family,"['Farms', 'National Parks', 'Historic Sites', 'Beaches', 'Museums', 'Nature & Wildlife Areas', 'Gardens', 'Religious Sites']","['Farm Tours', 'Factory Tours', 'Cultural Tours']"
User 70,Netherlands,26-35,Male,Solo,"['Museums', 'National Parks', 'Beaches']","['Cultural Tours', 'Sightseeing', 'Guided Tours', 'Cultural Exploration']"
User 71,Australia,51+,Male,Friends,"['Gardens', 'Beaches']","['Gardens', 'Nature Walks', 'Worship', 'Wildlife Safaris']"
User 72,Australia,26-35,Female,Friends,"['Farms', 'Beaches']","['Boat Tours', 'Photography', 'Snorkeling']"
User 73,Australia,51+,Female,Family,"['National Parks', 'Beaches', 'Zoological Gardens']","['Walking Trails', 'Bird Watching', 'Meditation']"
User 74,Australia,18-25,Female,Couple,"['Museums', 'National Parks', 'Beaches']","['Relaxation', 'Beach Hopping', 'Snorkeling']"
User 75,Bhutan,36-50,Male,Friends,"['National Parks', 'Gardens', 'Beaches']","['Historical Exploration', 'Bird Watching', 'Boating']"
User 76,Sweden,36-50,Female,Couple,"['Beaches', 'Bodies of Water']","['Farm Tours', 'Tea Plucking', 'Cultural Tours']"
User 77,Sweden,18-25,Female,Family,"['Religious Sites', 'Beaches', 'Nature & Wildlife Areas']","['Sightseeing', 'Beach Hopping', 'Yoga', 'Photography']"
User 78,Australia,26-35,Male,Friends,"['Historic Sites', 'Beaches']","['Sightseeing', 'Hiking', 'Boat Tours', 'Snorkeling']"
User 79,Australia,51+,Male,Couple,"['Waterfalls', 'Museums', 'Beaches']","['Wildlife Spotting', 'Gardens', 'Wildlife Safaris']"
User 80,United Kingdom,18-25,Male,Friends,"['Waterfalls', 'Museums', 'Beaches']","['Surfing', 'Hiking', 'Boat Tours', 'Snorkeling']"
User 81,Cabo Verde,51+,Male,Family,"['Waterfalls', 'Historic Sites', 'Beaches']","['Historical Exploration', 'Walking Trails', 'Meditation']"
User 82,France,26-35,Female,Couple,"['Nature & Wildlife Areas', 'National Parks', 'Beaches']","['Photography', 'Yoga', 'Sunbathing']"
User 83,United States,51+,Female,Family,"['Nature & Wildlife Areas', 'Beaches', 'Museums']","['Historical Exploration', 'Bird Watching', 'Meditation', 'Worship']"
User 84,Ireland,26-35,Female,Friends,"['Farms', 'Beaches']","['Boat Tours', 'Snorkeling', 'Nature Walks', 'Yoga']"
User 85,Austria,18-25,Female,Couple,"['Waterfalls', 'Beaches', 'Zoological Gardens']","['Beach Hopping', 'Photography', 'Relaxation']"
User 86,Netherlands,36-50,Female,Friends,"['Gardens', 'Beaches', 'Zoological Gardens']","['Farm Tours', 'Bird Watching', 'Tea Plucking']"
User 87,Netherlands,18-25,Female,Family,"['Museums', 'Beaches']","['Yoga', 'Sightseeing', 'Beach Hopping', 'Snorkeling']"
User 88,Australia,26-35,Male,Couple,"['Farms', 'Beaches']","['Hiking', 'Sightseeing', 'Relaxation']"
User 89,Thailand,51+,Female,Friends,"['Beaches', 'Bodies of Water']","['Bird Watching', 'Meditation', 'Relaxation', 'Worship']"
User 90,Slovenia,36-50,Male,Family,"['Historic Sites', 'Gardens', 'Beaches']","['Wildlife Safaris', 'Agricultural Workshops', 'Factory Tours', 'Historical Exploration']"
User 91,United Kingdom,36-50,Female,Family,"['Farms', 'Beaches']","['Agricultural Workshops', 'Farm Tours', 'Tea Plucking', 'Historical Exploration']"
User 92,Switzerland,26-35,Male,Friends,"['Waterfalls', 'Nature & Wildlife Areas', 'Beaches']","['Sightseeing', 'Snorkeling', 'Boat Tours', 'Hiking']"
User 93,Portugal,26-35,Female,Couple,"['Nature & Wildlife Areas', 'Beaches']","['Yoga', 'Relaxation', 'Photography']"
User 94,Netherlands,26-35,Female,Family,"['Religious Sites', 'Beaches']","['Nature Walks', 'Yoga', 'Meditation', 'Factory Tours']"
User 95,Australia,36-50,Female,Family,"['Nature & Wildlife Areas', 'Beaches']","['Historical Exploration', 'Tea Plucking', 'Cultural Tours']"
User 96,India,36-50,Female,Friends,"['Historic Sites', 'Gardens', 'Beaches']","['Boating', 'Cultural Tours', 'Farm Tours']"
User 97,United Kingdom,51+,Female,Friends,"['Gardens', 'Beaches', 'Bodies of Water']","['Worship', 'Gardens', 'Cultural Exploration']"
User 98,Sri Lanka,51+,Female,Friends,"['Beaches', 'Gardens', 'Religious Sites']","['Relaxation', 'Worship', 'Gardens', 'Cultural Exploration']"
User 99,China,18-25,Male,Family,"['Museums', 'Gardens', 'Beaches']","['Surfing', 'Wildlife Spotting', 'Hiking', 'Beach Hopping']"
User 100,Indonesia,26-35,Male,Couple,"['Gardens', 'Beaches']","['Boat Tours', 'Sightseeing', 'Beach Hopping']"
User 101,Austria,26-35,Male,Solo,"['Religious Sites', 'Gardens', 'Beaches']","['Cultural Tours', 'Cultural Exploration', 'Boat Tours', 'Hiking']"
User 102,Germany,36-50,Male,Couple,"['National Parks', 'Gardens', 'Beaches']","['Wildlife Spotting', 'Nature Walks', 'Hiking']"
User 103,Australia,18-25,Female,Family,"['Religious Sites', 'Beaches']","['Photography', 'Nature Walks', 'Yoga']"
User 104,United Kingdom,18-25,Male,Solo,"['Beaches', 'Zoological Gardens']","['Jet Skiing', 'Yoga', 'Rafting', 'Hiking']"
User 105,United Kingdom,26-35,Male,Solo,"['Beaches', 'Zoological Gardens']","['Guided Tours', 'Boat Tours', 'Cultural Tours']"
User 106,France,18-25,Female,Solo,"['Museums', 'Beaches', 'Zoological Gardens']","['Beach Hopping', 'Yoga', 'Nature Walks', 'Snorkeling']"
User 107,Australia,51+,Male,Friends,"['Religious Sites', 'Beaches']","['Worship', 'Nature Walks', 'Meditation']"
User 108,Switzerland,18-25,Female,Family,"['Nature & Wildlife Areas', 'National Parks', 'Beaches']","['Photography', 'Wildlife Spotting', 'Sightseeing']"
User 109,United Kingdom,26-35,Female,Friends,"['Gardens', 'Beaches']","['Yoga', 'Nature Walks', 'Boat Tours']"
User 110,United Kingdom,18-25,Female,Family,"['Waterfalls', 'Beaches', 'Bodies of Water']","['Sightseeing', 'Yoga', 'Wildlife Spotting']"
User 111,India,51+,Female,Family,"['Farms', 'Beaches']","['Bird Watching', 'Meditation', 'Historical Exploration', 'Relaxation']"
User 112,United Kingdom,36-50,Male,Friends,"['National Parks', 'Historic Sites', 'Beaches']","['Historical Exploration', 'Boating', 'Fishing']"
User 113,United Arab Emirates,18-25,Female,Friends,"['Beaches', 'Bodies of Water']","['Boat Tours', 'Surfing', 'Snorkeling']"
User 114,Ukraine,36-50,Female,Solo,"['Religious Sites', 'Beaches']","['Photography', 'Farm Tours', 'Cultural Tours', 'Educational Tours']"
User 115,United Kingdom,18-25,Male,Solo,"['Historic Sites', 'Beaches']","['Surfing', 'Photography', 'Hiking']"
User 116,Germany,36-50,Male,Friends,"['Historic Sites', 'Gardens', 'Beaches']","['Hiking', 'Bird Watching', 'Boating']"
User 117,Australia,26-35,Male,Couple,"['Historic Sites', 'Beaches']","['Boat Tours', 'Hiking', 'Cultural Tours', 'Sunbathing']"
User 118,United Kingdom,51+,Male,Friends,"['Historic Sites', 'Beaches', 'Zoological Gardens']","['Cultural Exploration', 'Gardens', 'Worship', 'Meditation']"
User 119,United States,18-25,Female,Friends,"['Beaches', 'Bodies of Water']","['Rafting', 'Jet Skiing', 'Photography']"
User 120,Australia,18-25,Male,Friends,"['Nature & Wildlife Areas', 'Historic Sites', 'Beaches']","['Jet Skiing', 'Boat Tours', 'Hiking', 'Surfing']"
User 121,Brazil,26-35,Female,Friends,"['Waterfalls', 'Museums', 'Beaches']","['Hiking', 'Boat Tours', 'Nature Walks']"
User 122,Australia,18-25,Male,Couple,"['Historic Sites', 'Beaches']","['Snorkeling', 'Hiking', 'Rafting']"
User 123,France,26-35,Male,Family,"['Gardens', 'Beaches']","['Cultural Tours', 'Hiking', 'Wildlife Spotting']"
User 124,United Arab Emirates,18-25,Male,Solo,"['National Parks', 'Beaches']","['Snorkeling', 'Boat Tours', 'Surfing', 'Yoga']"
